tweet,degree
RT mayasolovely As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,0.0
RT mleew17 boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place,0.0
RT UrKindOfBrand Dawg RT 80sbaby4life You ever fuck a bitch and she start to cry You be confused as shit,0.15
RT CGAnderson vivabased she look like a tranny,0.0
RT ShenikaRoberts The shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361,0.08
TMadisonx The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514,0.10526315789473684
BrighterDays I can not just sit up and HATE on another bitch  I got too much shit going on,0.10526315789473684
8220selfiequeenbri cause Im tired of you big bitches coming for us skinny girls8221,0.07692307692307693
amp you might not get ya bitch back amp thats that,0.09090909090909091
rhythmixx hobbies include fighting Mariam bitch,0.16666666666666666
Keeks is a bitch she curves everyone  lol I walked into a conversation like this Smh,0.0625
Murda Gang bitch its Gang Land,0.16666666666666666
So hoes that smoke are losers   yea  go on IG,0.0
bad bitches is the only thing that i like,0.1111111111111111
bitch get up off me,0.2
bitch nigga miss me with it,0.3333333333333333
bitch plz whatever,0.3333333333333333
bitch who do you love,0.2
bitches get cut off everyday B,0.16666666666666666
black bottle amp a bad bitch,0.16666666666666666
broke bitch cant tell me nothing,0.16666666666666666
cancel that bitch like Nino,0.2
cant you see these hoes wont change,0.0
fuck no that bitch dont even suck dick  128514128514128514 the Kermit videos bout to fuck IG up,0.23529411764705882
got ya bitch tip toeing on my hardwood floors  128514 httptcocOU2WQ5L4q,0.09090909090909091
her pussy lips like Heaven doors  128524,0.14285714285714285
hoe what its hitting for,0.0
i met that pussy on Ocean Dr  i gave that pussy a pill  128524,0.14285714285714285
i need a trippy bitch who fuck on Hennessy,0.2222222222222222
i spend my money how i want bitch its my business,0.09090909090909091
i txt my old bitch my new bitch pussy wetter,0.3
id say im back to the old me but my old bitches would get excited  128524,0.0625
if you aint bout that Murder Game pussy nigga shut up,0.18181818181818182
if youre toes aint done you pussy stinks,0.125
im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that,0.05
is that ya bitch,0.25
it aint nothing to cut a bitch off,0.125
jus meet son now he ya mane ass bitches  Shots,0.2
lames crying over hoes thats tears of a clown,0.0
like Snoop said in 94 we dont love these hoes,0.0
momma said no pussy cats inside my doghouse,0.125
most hated but the hoes favorite  2MW SevenOne  httptcoBMdSVMc3rC,0.0
"nice girls bad, make me get naughty Bad yello hoe, real nice body Down south chick, like em real thick httptcobzRDl3kF7U",0.0
pimps up pimps up hoes down  Future voice,0.0
post a picture of that pussy get 200 likes,0.1111111111111111
pussy is a powerful drug  128517 HappyHumpDay httptcoR8jsymiB5b,0.125
quick piece of pussy call it a drive by,0.1111111111111111
running round here like some brand new pussy thats bout to get fucked,0.07692307692307693
these bitches even worst theyll send them guys for you,0.1
these hoes like niggas that spend money not talk bout it,0.09090909090909091
we dont trust these niggas all these bitches,0.25
yall niggas b cuffing hoes cause yall aint never have bitches,0.18181818181818182
you dodge a bullet  128517 8220DaRealKha All da bitches I cut off pregnant or bound to be thank God 1285918221,0.05
